Category,Programme,Country,Route,Min investment,CitizenX all-in,Processing,Notes
CBI,Antigua & Barbuda,Antigua & Barbuda,NDF donation,USD 230000,USD 274180,3 months,Popular donation route
CBI,Antigua & Barbuda,Antigua & Barbuda,UWI fund,USD 230000,USD 296180,3 months,University of West Indies fund
CBI,Antigua & Barbuda,Antigua & Barbuda,Real estate,USD 300000,not quoted,3 months,No approved projects available currently
CBI,Antigua & Barbuda,Antigua & Barbuda,Business,USD 1500000,not quoted,3 months,Or USD 5M joint (min USD 400k per person)
CBI,Dominica,Dominica,EDF donation,USD 200000,USD 232650,3 months,Popular option
CBI,Dominica,Dominica,Real estate,not stated,USD 345950,3 months,Resell after 3 yrs (open) / 5 yrs (to investor)
CBI,Egypt,Egypt,Treasury contribution,USD 250000,not quoted,n/a,Route marked Not available
CBI,Egypt,Egypt,Bank deposit (refundable),USD 500000,not quoted,n/a,Refundable in local currency after 3 yrs no interest
CBI,El Salvador,El Salvador,Freedom Passport (BTC/USDT),USD 1000000,USD 1021000,10-12 weeks,CitizenX fee only ~USD 21000 (~2%)
CBI,Grenada,Grenada,NTF donation,USD 235000,USD 275275,5-7 months,Main applicant + up to 3 dependants
CBI,Grenada,Grenada,Real estate,USD 350000,USD 362175,5-7 months,Sole; or USD 270k/share shared. + USD 50k govt contribution
CBI,Nauru,Nauru,Climate Resilience Fund,USD 90000,USD 128375,3 months,Limited-time offer; CitizenX fee ~USD 25675 (~25%)
CBI,Sao Tome & Principe,Sao Tome & Principe,NTF donation,USD 90000,USD 105325,4-6 months,Family of 4 = USD 100750 total
CBI,Sierra Leone,Sierra Leone,Heritage donation,USD 100000,USD 117700,up to 60 days,Requires DNA proof of African ancestry
CBI,Sierra Leone,Sierra Leone,Fast-track donation,USD 140000,USD 159500,up to 90 days,Non-refundable contribution
CBI,Sierra Leone,Sierra Leone,PR gold (1kg bullion),fees from USD 65000,not quoted,40 days or less,Permanent residency; gold vaulted 5 yrs
CBI,St Kitts & Nevis,St Kitts & Nevis,SISC donation,USD 250000,USD 287766,3 months,Sustainable Island State Contribution
CBI,St Kitts & Nevis,St Kitts & Nevis,Real estate,USD 325000,USD 478830,3 months,Condo USD 325k / single dwelling USD 600k; resell after 7 yrs
CBI,St Lucia,St Lucia,NEF donation,USD 240000,USD 275682,3 months,Popular option
CBI,St Lucia,St Lucia,Government bonds,not stated,USD 396682,3 months,Non-interest-bearing govt bonds
CBI,St Lucia,St Lucia,Real estate,USD 300000,not quoted,3 months,No approved projects available currently
CBI,Turkiye,Turkiye,Real estate,USD 400000,USD 448171,3 months,New property
CBI,Turkiye,Turkiye,Bank deposit,USD 500000,USD 540164,3 months,Into a Turkish bank account
CBI,Turkiye,Turkiye,Government bonds,USD 500000,not quoted,3 months,
CBI,Vanuatu,Vanuatu,DSP donation,USD 130000,USD 157300,2-3 months,Due diligence USD 5000
CBI,Vanuatu,Vanuatu,CIIP,USD 165000,not quoted,2-3 months,USD 50k refundable after 4 yrs (net USD 115k); DD USD 8000
CBI,Serbia,Serbia,Company incorporation + donation,EUR 172500,EUR 375000,3 months,All-in = EUR 172500 contribution + EUR 177500 govt + EUR 25000 CitizenX
CBI,Cambodia,Cambodia,Donation,USD 245000,not quoted,6 months,No routes meeting CitizenX standards yet
RBI,Latvia,Latvia,Equity investment,EUR 50000,EUR 95000,4 weeks,Into company share capital
RBI,Latvia,Latvia,Bank deposit,EUR 280000,EUR 340000,4 weeks,Into a Latvian bank
RBI,Paraguay,Paraguay,(none listed),,,,No options meeting CitizenX standards yet
RBI,Mauritius,Mauritius,(none listed),,,,No options meeting CitizenX standards yet
Descent,Citizenship by descent,"Canada, Croatia, Czechia, Ireland, Italy, Lithuania, Romania, Slovakia, Poland",ancestry,n/a,n/a,varies,No investment route; eligibility by descent
